attributes,created,dataSizeBytes,id,indexedColumns,isAlias,lastChangeDate,lastImportDate,name,primaryKey,rowsCount,transactional,uri
[],2016-10-19T16:27:55+0200,20971520,in.c-ex-AdOps-rs.countryCodes,[u'countryCode'],FALSE,2016-10-19T16:27:58+0200,2016-10-19T16:27:57+0200,countryCodes,[],250,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.countryCodes
[],2016-11-10T14:27:38+0100,31457280,in.c-ex-AdOps-rs.HistoricData_Operative,[],FALSE,2016-11-10T14:27:49+0100,2016-11-10T14:27:47+0100,HistoricData_Operative,[],126704,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.HistoricData_Operative
[],2016-08-23T18:39:24+0200,56623104,in.c-ex-AdOps-rs.OAScampaign_dim,[u'campaign_id'],FALSE,2016-12-05T09:16:55+0100,2016-12-05T09:16:54+0100,OAScampaign_dim,[u'campaign_id'],10041,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAScampaign_dim
[],2016-08-23T18:39:17+0200,75497472,in.c-ex-AdOps-rs.OASdelByContinent,"[u'campaign', u'date', u'geography']",FALSE,2016-12-05T09:16:43+0100,2016-12-05T09:16:41+0100,OASdelByContinent,"[u'campaign', u'date', u'geography']",1360075,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OASdelByContinent
[],2016-08-23T18:39:10+0200,301989888,in.c-ex-AdOps-rs.OASdelByCountry,"[u'campaign', u'date', u'geography']",FALSE,2016-12-05T09:16:22+0100,2016-12-05T09:16:20+0100,OASdelByCountry,"[u'campaign', u'date', u'geography']",7346728,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OASdelByCountry
[],2016-08-23T18:39:03+0200,736100352,in.c-ex-AdOps-rs.OASdelByDMA,"[u'campaign', u'date', u'geography']",FALSE,2016-12-05T09:14:05+0100,2016-12-05T09:14:02+0100,OASdelByDMA,"[u'campaign', u'date', u'geography']",17956931,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OASdelByDMA
[],2016-08-23T18:38:55+0200,975175680,in.c-ex-AdOps-rs.OASdelByMSA,"[u'campaign', u'date', u'geography']",FALSE,2016-12-05T09:10:27+0100,2016-12-05T09:10:25+0100,OASdelByMSA,"[u'campaign', u'date', u'geography']",22465683,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OASdelByMSA
[],2016-08-23T18:38:47+0200,167772160,in.c-ex-AdOps-rs.OASdelByPagePos,"[u'campaign', u'date', u'url', u'pos']",FALSE,2016-12-05T09:07:24+0100,2016-12-05T09:07:22+0100,OASdelByPagePos,"[u'campaign', u'date', u'url', u'pos']",3376113,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OASdelByPagePos
[],2016-08-23T18:38:40+0200,962592768,in.c-ex-AdOps-rs.OASdelByState,"[u'campaign', u'date', u'geography']",FALSE,2016-12-05T09:07:02+0100,2016-12-05T09:07:01+0100,OASdelByState,"[u'campaign', u'date', u'geography']",22697532,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OASdelByState
[],2016-08-23T18:38:23+0200,1891631104,in.c-ex-AdOps-rs.OASdelByZip,"[u'campaign', u'date', u'geography']",FALSE,2016-12-05T09:03:39+0100,2016-12-05T09:03:34+0100,OASdelByZip,"[u'campaign', u'date', u'geography']",45714334,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OASdelByZip
[],2016-11-09T01:31:38+0100,44040192,in.c-ex-AdOps-rs.OAS_allTargetingData,"[u'camp', u'key', u'value']",FALSE,2016-12-05T09:19:49+0100,2016-12-05T09:19:46+0100,OAS_allTargetingData,"[u'camp', u'key', u'value']",679294,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_allTargetingData
[],2016-11-09T02:02:03+0100,18874368,in.c-ex-AdOps-rs.OAS_brand_targeting,"[u'campaign_id', u'key', u'value']",FALSE,2016-12-05T09:19:12+0100,2016-12-05T09:19:09+0100,OAS_brand_targeting,"[u'campaign_id', u'key', u'value']",230771,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_brand_targeting
[],2016-11-09T01:31:21+0100,12582912,in.c-ex-AdOps-rs.OAS_campaign_pos,"[u'campaign_id', u'position']",FALSE,2016-12-05T09:18:55+0100,2016-12-05T09:18:52+0100,OAS_campaign_pos,"[u'campaign_id', u'position']",10710,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_campaign_pos
[],2016-11-09T01:31:15+0100,27262976,in.c-ex-AdOps-rs.OAS_continent_keys,[u'Code'],FALSE,2016-12-05T09:18:41+0100,2016-12-05T09:18:38+0100,OAS_continent_keys,[u'Code'],7,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_continent_keys
[],2016-11-09T01:31:08+0100,12582912,in.c-ex-AdOps-rs.OAS_country_keys,[u'Code'],FALSE,2016-12-05T09:18:26+0100,2016-12-05T09:18:23+0100,OAS_country_keys,[u'Code'],259,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_country_keys
[],2016-11-10T16:18:38+0100,494927872,in.c-ex-AdOps-rs.OAS_delByDevice,"[u'campaign', u'device', u'date']",FALSE,2016-12-05T09:21:36+0100,2016-12-05T09:21:34+0100,OAS_delByDevice,"[u'campaign', u'device', u'date']",11571998,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_delByDevice
[],2016-11-09T01:31:01+0100,12582912,in.c-ex-AdOps-rs.OAS_DMA_keys,[u'Code'],FALSE,2016-12-05T09:18:10+0100,2016-12-05T09:18:07+0100,OAS_DMA_keys,[u'Code'],210,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_DMA_keys
[],2016-11-09T01:30:54+0100,12582912,in.c-ex-AdOps-rs.OAS_MSA_keys,[u'Code'],FALSE,2016-12-05T09:17:46+0100,2016-12-05T09:17:41+0100,OAS_MSA_keys,[u'Code'],952,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_MSA_keys
[],2016-11-09T01:30:47+0100,16777216,in.c-ex-AdOps-rs.OAS_pageTargetedData,"[u'camp', u'type', u'section_id', u'site_domain']",FALSE,2016-12-05T09:17:26+0100,2016-12-05T09:17:23+0100,OAS_pageTargetedData,"[u'camp', u'type', u'section_id', u'site_domain']",64379,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_pageTargetedData
[],2016-11-09T01:30:30+0100,12582912,in.c-ex-AdOps-rs.OAS_state_keys,[u'Code'],FALSE,2016-12-05T09:17:11+0100,2016-12-05T09:17:09+0100,OAS_state_keys,[u'Code'],3919,FALSE,https://connection.keboola.com/v2/storage/tables/in.c-ex-AdOps-rs.OAS_state_keys
